"choice","nonchoice","value","rt","pair","valence","iter","med","ord_sbj","not_cond1","not_cond2","dmed"
2,1,1,-0.794,1,2,64,"off",1,2,3,0
1,2,0,0.656,3,1,64,"off",1,1,2,0
1,2,0,0.586,3,1,65,"off",1,1,2,0
1,2,1,1.106,2,2,65,"off",1,1,3,0
2,1,0,-0.865,1,1,65,"off",1,2,3,0
1,2,0,0.582,1,1,66,"off",1,2,3,0
2,1,1,-0.231,3,2,66,"off",1,1,2,0
1,2,1,0.899,2,2,66,"off",1,1,3,0
2,1,0,-1.165,3,1,67,"off",1,1,2,0
1,2,0,0.708,2,1,67,"off",1,1,3,0
1,2,1,0.652,1,2,67,"off",1,2,3,0
2,1,0,-2.162,3,1,68,"off",1,1,2,0
2,1,0,-1.943,1,1,68,"off",1,2,3,0
1,2,1,1.273,2,2,68,"off",1,1,3,0
1,2,1,0.941,1,2,69,"off",1,2,3,0
2,1,0,-0.934,3,1,69,"off",1,1,2,0
2,1,0,-1.957,2,1,69,"off",1,1,3,0
1,2,0,1.262,3,1,70,"off",1,1,2,0
2,1,0,-1.058,1,1,70,"off",1,2,3,0
1,2,1,0.477,2,2,70,"off",1,1,3,0
2,1,0,-1.142,1,1,71,"off",1,2,3,0
2,1,0,-0.819,3,1,71,"off",1,1,2,0
1,2,1,1.194,2,2,71,"off",1,1,3,0
2,1,0,-1.344,3,1,72,"off",1,1,2,0
2,1,0,-1.223,1,1,72,"off",1,2,3,0
2,1,0,-0.706,2,1,72,"off",1,1,3,0
2,1,0,-2.377,1,1,73,"off",1,2,3,0
1,2,1,1.544,3,2,73,"off",1,1,2,0
1,2,1,0.873,2,2,73,"off",1,1,3,0
2,1,0,-0.772,1,1,74,"off",1,2,3,0
1,2,0,1.248,3,1,74,"off",1,1,2,0
2,1,0,-0.317,2,1,74,"off",1,1,3,0
1,2,1,0.704,3,2,75,"off",1,1,2,0
2,1,0,-1.765,2,1,75,"off",1,1,3,0
2,1,1,-0.606,1,2,75,"off",1,2,3,0
1,2,1,0.751,3,2,76,"off",1,1,2,0
1,2,1,0.672,1,2,76,"off",1,2,3,0
2,1,1,-0.814,2,2,76,"off",1,1,3,0
1,2,0,0.642,2,1,77,"off",1,1,3,0
2,1,0,-0.795,1,1,77,"off",1,2,3,0
1,2,1,0.721,3,2,77,"off",1,1,2,0
1,2,1,0.673,1,2,78,"off",1,2,3,0
1,2,1,0.639,3,2,78,"off",1,1,2,0
2,1,0,-0.665,2,1,78,"off",1,1,3,0
1,2,1,0.609,3,2,79,"off",1,1,2,0
2,1,0,-0.692,1,1,79,"off",1,2,3,0
1,2,1,0.655,2,2,79,"off",1,1,3,0
1,2,0,0.636,3,1,80,"off",1,1,2,0
2,1,0,-0.504,1,1,80,"off",1,2,3,0
1,2,0,0.598,2,1,80,"off",1,1,3,0
1,2,1,1.369,1,2,81,"off",1,2,3,0
1,2,0,0.848,3,1,81,"off",1,1,2,0
2,1,0,-0.498,2,1,81,"off",1,1,3,0
1,2,1,0.462,1,2,82,"off",1,2,3,0
1,2,0,0.507,2,1,82,"off",1,1,3,0
1,2,0,0.357,3,1,82,"off",1,1,2,0
2,1,0,-0.43,3,1,83,"off",1,1,2,0
2,1,0,-0.257,2,1,83,"off",1,1,3,0
1,2,1,0.237,1,2,83,"off",1,2,3,0
1,2,0,0.255,3,1,84,"off",1,1,2,0
1,2,0,0.314,2,1,84,"off",1,1,3,0
2,1,0,-0.435,1,1,84,"off",1,2,3,0
2,1,0,-0.323,3,1,85,"off",1,1,2,0
1,2,1,0.256,1,2,85,"off",1,2,3,0
2,1,1,-0.261,2,2,85,"off",1,1,3,0
1,2,1,0.249,3,2,86,"off",1,1,2,0
2,1,0,-0.253,1,1,86,"off",1,2,3,0
1,2,1,0.205,2,2,86,"off",1,1,3,0
2,1,0,-0.254,3,1,87,"off",1,1,2,0
2,1,0,-0.218,2,1,87,"off",1,1,3,0
1,2,0,0.26,1,1,87,"off",1,2,3,0
1,2,1,0.262,2,2,88,"off",1,1,3,0
1,2,1,0.375,3,2,88,"off",1,1,2,0
2,1,0,-0.244,1,1,88,"off",1,2,3,0
2,1,1,-0.227,3,2,89,"off",1,1,2,0
2,1,0,-0.242,2,1,89,"off",1,1,3,0
1,2,1,0.216,2,2,90,"off",1,1,3,0
1,2,1,0.235,3,2,90,"off",1,1,2,0
2,1,0,-0.211,1,1,90,"off",1,2,3,0
1,2,1,0.279,1,2,91,"off",1,2,3,0
2,1,0,-0.23,3,1,91,"off",1,1,2,0
2,1,0,-0.287,3,1,92,"off",1,1,2,0
1,2,1,0.203,3,2,93,"off",1,1,2,0
1,2,1,0.223,2,2,93,"off",1,1,3,0
1,2,1,0.242,2,2,94,"off",1,1,3,0
2,1,0,-0.241,1,1,94,"off",1,2,3,0
1,2,1,0.245,2,2,95,"off",1,1,3,0
1,2,1,0.23,1,2,96,"off",1,2,3,0
2,1,0,-0.242,3,1,96,"off",1,1,2,0
